,Facility Name,Resident Weeks,Covid Infections,Facility Infection Rate,County Infection Rate,Infection Score,Final Payment,Infection Rate,Rate Ratio
52,"CROSSVILLE HEALTH AND REHABILITATION, LLC",649.0,0,0.0,2.84,1.84,238837,0.0,0.0
53,WOODHAVEN MANOR NURSING HOME,318.0,0,0.0,3.28,1.04,133555,0.0,0.0
54,PARKWOOD HEALTH CARE FACILITY,344.0,0,0.0,0.56,0.19,24498,0.0,0.0
55,"GEORGIANA HEALTH AND REHABILITATION, LLC",490.0,0,0.0,1.11,0.54,69764,0.0,0.0
56,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",765.0,0,0.0,1.65,1.26,175631,0.0,0.0
57,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",333.0,0,0.0,1.72,0.57,73423,0.0,0.0
58,JACKSON HEALTH CARE FACILITY,334.0,0,0.0,1.91,0.64,81564,0.0,0.0
59,BROWN NURSING HOME,312.0,0,0.0,0.8,0.25,31904,0.0,0.0
60,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",548.0,0,0.0,0.76,0.42,53367,0.0,0.0
61,CROWNE HEALTH CARE OF GREENVILLE,344.0,0,0.0,1.11,0.38,52073,0.0,0.0
62,PIEDMONT HEALTH CARE CENTER,300.0,0,0.0,1.56,0.47,71982,0.0,0.0
63,DIVERSICARE OF LANETT,377.0,0,0.0,0.78,0.29,44994,0.0,0.0
64,"GENERATIONS OF RED BAY, LLC",300.0,0,0.0,1.89,0.57,86228,0.0,0.0
65,MCGUFFEY HEALTH & REHABILITATION CENTER,715.0,0,0.0,1.58,1.13,174228,0.0,0.0
66,ATTALLA HEALTH AND REHAB,405.0,0,0.0,1.58,0.64,98689,0.0,0.0
67,GOODWATER HEALTHCARE CENTER,317.0,0,0.0,0.77,0.24,31250,0.0,0.0
68,DECATUR HEALTH & REHAB CENTER,340.0,0,0.0,1.77,0.6,81849,0.0,0.0
69,"OZARK HEALTH AND REHABILITATION, LLC",533.0,0,0.0,1.62,0.86,129543,0.0,0.0
70,SELF HEALTH CARE & REHAB CENTER INC,295.0,0,0.0,1.25,0.37,47361,0.0,0.0
71,MADISON MANOR NURSING HOME,332.0,0,0.0,0.87,0.29,37091,0.0,0.0
72,OAKVIEW MANOR HEALTH CARE CENTER,451.0,0,0.0,1.62,0.73,112590,0.0,0.0
73,CROWNE HEALTH CARE OF THOMASVILLE,338.0,0,0.0,1.91,0.64,90418,0.0,0.0
74,FAIRHOPE HEALTH & REHAB,314.0,0,0.0,1.09,0.34,51568,0.0,0.0
75,NORTHSIDE HEALTH CARE,427.0,0,0.0,1.58,0.68,87874,0.0,0.0
76,WEST HILL HEALTH AND REHAB,304.0,0,0.0,1.25,0.38,51143,0.0,0.0
77,"RIDGEWOOD HEALTH SERVICES, INC.",410.0,0,0.0,1.5,0.62,81924,0.0,0.0
78,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",417.0,0,0.0,1.25,0.52,66948,0.0,0.0
79,ENGLEWOOD HEALTH CARE CENTER,348.0,0,0.0,0.47,0.16,25303,0.0,0.0
80,MARENGO NURSING HOME,290.0,0,0.0,3.28,0.95,146155,0.0,0.0
81,"LUVERNE HEALTH AND REHABILITATION, LLC",535.0,0,0.0,0.97,0.52,77866,0.0,0.0
82,LAUDERDALE CHRISTIAN NURSING HOME,281.0,0,0.0,1.19,0.33,45510,0.0,0.0
83,OAKS ON PARKWOOD SKILLED NURSING FACILITY,582.0,0,0.0,1.25,0.73,112125,0.0,0.0
84,REGENCY HEALTH CARE AND REHABILITATION CENTER,380.0,0,0.0,0.87,0.33,50945,0.0,0.0
85,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,418.0,0,0.0,1.85,0.77,118846,0.0,0.0
86,CAMDEN NURSING FACILITY INC.,247.0,0,0.0,0.67,0.17,25641,0.0,0.0
87,ANNISTON HEALTH AND REHAB SERVICES,291.0,0,0.0,1.56,0.45,58185,0.0,0.0
88,DIVERSICARE OF WINFIELD,489.0,0,0.0,0.77,0.38,58235,0.0,0.0
89,MARSHALL MANOR NURSING HOME,369.0,0,0.0,1.0,0.37,49353,0.0,0.0
90,ADAMS NURSING HOME,279.0,0,0.0,0.8,0.22,28529,0.0,0.0
91,CAPITOL HILL HEALTHCARE CENTER,1011.0,1,0.99,1.26,0.27,41734,0.9891196834817012,0.7857142857142857
92,CYPRESS COVE CARE CENTER,351.0,0,0.0,1.38,0.48,70824,0.0,0.0
93,CROWNE HEALTH CARE OF MONTGOMERY,657.0,0,0.0,1.26,0.83,127087,0.0,0.0
94,MEADOWVIEW NURSING CENTER,226.0,0,0.0,1.61,0.36,55928,0.0,0.0
95,"GRAND BAY CONVALESCENT HOME, INC.",320.0,0,0.0,0.63,0.2,31236,0.0,0.0
96,HEALTH CARE INC,239.0,0,0.0,1.61,0.38,49287,0.0,0.0
97,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,292.0,0,0.0,0.43,0.13,19322,0.0,0.0
98,TLC NURSING CENTER,324.0,0,0.0,1.3,0.42,64643,0.0,0.0
99,WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,740.0,0,0.0,1.72,1.27,163235,0.0,0.0
100,CROWNE HEALTH CARE OF SPRINGHILL,116.0,0,0.0,0.63,0.07,9436,0.0,0.0
101,KENSINGTON HEALTH AND REHABILITATION,501.0,0,0.0,0.63,0.32,45839,0.0,0.0
102,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",628.0,0,0.0,0.87,0.55,73402,0.0,0.0
103,ST MARTIN'S IN THE PINES,463.0,0,0.0,1.25,0.58,89199,0.0,0.0
104,LYNWOOD NURSING HOME,527.0,0,0.0,0.63,0.33,42867,0.0,0.0
105,SPRINGHILL SENIOR RESIDENCE,354.0,0,0.0,0.63,0.22,28795,0.0,0.0
106,ORCHARD REHABILITATION & HEALTHCARE CENTER,258.0,0,0.0,1.36,0.35,53864,0.0,0.0
107,SOUTH HAMPTON NURSING & REHABILITATION CENTER,294.0,0,0.0,0.87,0.26,39415,0.0,0.0
108,WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE,200.0,0,0.0,0.87,0.17,22344,0.0,0.0
109,MOUNT ROYAL TOWERS,561.0,0,0.0,1.25,0.7,90066,0.0,0.0
110,AHC MILLENIUM,371.0,0,0.0,0.87,0.32,43277,0.0,0.0
111,GALLERIA WOODS SKILLED NURSING FACILITY,147.0,0,0.0,1.25,0.18,23600,0.0,0.0
112,CHARLTON PLACE REHAB AND HEALTHCARE CENTER,277.0,0,0.0,1.34,0.37,47485,0.0,0.0
113,KNOLLWOOD HEALTHCARE,306.0,0,0.0,0.63,0.19,27373,0.0,0.0
114,ASPIRE PHYSICAL RECOVERY CENTER OF WEST ALABAMA,374.0,0,0.0,1.65,0.62,94808,0.0,0.0
115,TRUSSVILLE HEALTH & REHABILITATION CENTER,439.0,0,0.0,1.25,0.55,84576,0.0,0.0
116,KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,102.0,0,0.0,0.29,0.03,3762,0.0,0.0
117,PROVIDENCE TRANSITIONAL CARE CENTER,179.0,0,0.0,2.86,0.51,78762,0.0,0.0
118,DENALI CENTER,338.0,0,0.0,2.34,0.79,102068,0.0,0.0
119,HERITAGE PLACE,250.0,0,0.0,1.68,0.42,53715,0.0,0.0
120,PROVIDENCE SEWARD MED & CARE CENTER LTC,137.0,0,0.0,1.68,0.23,35323,0.0,0.0
121,QUYANNA CARE CENTER,84.0,0,0.0,1.3,0.11,13993,0.0,0.0
122,WILDFLOWER COURT,278.0,0,0.0,1.31,0.37,46811,0.0,0.0
123,CORDOVA COMMUNITY MED LTC,50.0,0,0.0,1.11,0.06,7105,0.0,0.0
124,PROVIDENCE KODIAK ISLAND MED LTC,105.0,0,0.0,0.89,0.09,12012,0.0,0.0
125,SOUTH PENINSULA HOSPITAL LTC,91.0,0,0.0,1.68,0.15,19552,0.0,0.0
126,SEARHC SITKA LONG TERM CARE,70.0,0,0.0,0.47,0.03,4226,0.0,0.0
127,PROVIDENCE VALDEZ MEDICAL CENTER,40.0,0,0.0,1.11,0.04,5684,0.0,0.0
128,YUKON KUSKOKWIM ELDER'S HOME,75.0,0,0.0,4.04,0.3,38800,0.0,0.0
129,MAPLE SPRINGS OF WASILLA,314.0,0,0.0,1.65,0.52,66444,0.0,0.0
130,MAPLE SPRINGS OF PALMER,114.0,0,0.0,1.65,0.19,24123,0.0,0.0
131,THE TERRACES OF PHOENIX,161.0,0,0.0,0.83,0.13,17089,0.0,0.0
132,SANTA ROSA CARE CENTER,581.0,0,0.0,0.65,0.38,48530,0.0,0.0
133,DESERT TERRACE HEALTHCARE CENTER,401.0,0,0.0,0.83,0.33,51076,0.0,0.0
134,HAVEN OF SCOTTSDALE,191.0,0,0.0,0.83,0.16,20273,0.0,0.0
135,DESERT HAVEN CARE CENTER,378.0,0,0.0,0.83,0.31,40122,0.0,0.0
136,PUEBLO SPRINGS REHABILITATION CENTER,386.0,0,0.0,0.65,0.25,32242,0.0,0.0
137,MISSION PALMS POST ACUTE,568.0,0,0.0,0.83,0.47,48232,0.0,0.0
138,PHOENIX MOUNTAIN POST ACUTE,597.0,0,0.0,0.83,0.49,63368,0.0,0.0
139,OSBORN HEALTH AND REHABILITATION,473.0,0,0.0,0.83,0.39,50206,0.0,0.0
140,PLAZA HEALTHCARE,683.0,0,0.0,0.83,0.57,86995,0.0,0.0
141,HAVEN OF SAGUARO VALLEY,276.0,0,0.0,0.65,0.18,27664,0.0,0.0
142,"HAVEN OF SIERRA VISTA, LLC",303.0,0,0.0,0.48,0.15,18693,0.0,0.0
143,CAMELBACK POST ACUTE AND REHABILITATION,329.0,0,0.0,0.83,0.27,34921,0.0,0.0
144,PUEBLO NORTE SENIOR LIVING COMMUNITY,330.0,0,0.0,0.83,0.27,35027,0.0,0.0
145,HAVEN OF COTTONWOOD,194.0,0,0.0,0.42,0.08,10515,0.0,0.0
146,HAVEN OF SEDONA,290.0,0,0.0,1.85,0.54,68663,0.0,0.0
147,DESERT COVE NURSING CENTER,251.0,0,0.0,0.83,0.21,29440,0.0,0.0
148,"HAVEN OF SANDPOINTE, LLC",350.0,0,0.0,1.22,0.43,65428,0.0,0.0
149,"SAPPHIRE OF TUCSON NURSING AND REHAB, LLC",780.0,0,0.0,0.65,0.51,78182,0.0,0.0
150,HAVASU NURSING CENTER,238.0,0,0.0,0.45,0.11,13717,0.0,0.0
151,CHANDLER POST ACUTE AND REHABILITATION,473.0,0,0.0,0.83,0.39,52936,0.0,0.0
152,SHEA POST ACUTE REHABILITATION CENTER,476.0,0,0.0,0.83,0.39,50524,0.0,0.0
153,TEMPE POST ACUTE,221.0,0,0.0,0.83,0.18,23458,0.0,0.0
154,HAVEN OF PHOENIX,434.0,0,0.0,0.83,0.36,53686,0.0,0.0
155,SUN WEST CHOICE HEALTHCARE & REHAB,589.0,0,0.0,0.83,0.49,70187,0.0,0.0
156,LAKE PLEASANT POST ACUTE REHABILITATION CENTER,514.0,0,0.0,0.83,0.43,43646,0.0,0.0
157,MOUNTAIN VIEW MANOR,242.0,0,0.0,0.42,0.1,13116,0.0,0.0
158,THE REHABILITATION CENTER AT THE PALAZZO,212.0,0,0.0,0.83,0.18,27003,0.0,0.0
159,PAYSON CARE CENTER,357.0,0,0.0,2.54,0.91,116236,0.0,0.0
160,HAVEN OF CAMP VERDE,180.0,0,0.0,0.42,0.08,9756,0.0,0.0
161,MI CASA NURSING CENTER,450.0,0,0.0,0.83,0.37,57318,0.0,0.0
162,CORE OF BEDFORD,118.0,0,0.0,0.35,0.04,5342,0.0,0.0
163,RIDGECREST HEALTHCARE,545.0,0,0.0,0.83,0.45,61935,0.0,0.0
164,PRESCOTT NURSING AND REHABILITATION CENTER,194.0,0,0.0,0.42,0.08,10515,0.0,0.0
165,ARCHSTONE CARE CENTER,298.0,0,0.0,0.83,0.25,37957,0.0,0.0
166,GRANITE CREEK HEALTH & REHABILITATION CENTER,286.0,0,0.0,0.42,0.12,15501,0.0,0.0
167,CORONADO HEALTHCARE CENTER,872.0,0,0.0,0.83,0.72,111069,0.0,0.0
168,LIFE CARE CENTER OF YUMA,293.0,0,0.0,1.22,0.36,54772,0.0,0.0
169,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,240.0,0,0.0,2.54,0.61,78142,0.0,0.0
170,MONTECITO POST ACUTE CARE AND REHABILITATION,965.0,0,0.0,0.83,0.8,81943,0.0,0.0
171,HAVEN OF SHOW LOW,185.0,0,0.0,1.37,0.25,38464,0.0,0.0
172,HERITAGE HEALTH CARE CENTER,308.0,0,0.0,2.54,0.78,101667,0.0,0.0
173,DEVON GABLES REHABILITATION CENTER,926.0,0,0.0,0.65,0.6,92816,0.0,0.0
174,SABINO CANYON REHABILITATION & CARE CENTER,409.0,0,0.0,0.65,0.27,40996,0.0,0.0
175,YUMA NURSING CENTER,306.0,0,0.0,1.22,0.37,57203,0.0,0.0
176,PROVIDENCE PLACE AT GLENCROFT,523.0,0,0.0,0.83,0.43,57230,0.0,0.0
177,GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE,215.0,0,0.0,0.42,0.09,13983,0.0,0.0
178,HORIZON POST ACUTE AND REHABILITATION CENTER,717.0,0,0.0,0.83,0.59,60884,0.0,0.0
179,DESERT BLOSSOM HEALTH & REHAB CENTER,395.0,0,0.0,0.83,0.33,44495,0.0,0.0
180,HAVEN OF TUCSON,112.0,0,0.0,0.65,0.07,11226,0.0,0.0
181,HAVEN OF SAFFORD,266.0,0,0.0,2.37,0.63,80775,0.0,0.0
182,CHRISTIAN CARE NURSING CENTER,143.0,0,0.0,0.83,0.12,18214,0.0,0.0
183,MARAVILLA CARE CENTER,589.0,0,0.0,0.83,0.49,62519,0.0,0.0
184,BEATITUDES CAMPUS,212.0,0,0.0,0.83,0.18,27003,0.0,0.0
185,HAVEN OF DOUGLAS,187.0,0,0.0,0.48,0.09,13844,0.0,0.0
186,RIO VISTA POST ACUTE AND REHABILITATION,441.0,0,0.0,0.83,0.37,49116,0.0,0.0
187,LA CANADA CARE CENTER,457.0,0,0.0,0.65,0.3,39607,0.0,0.0
188,ALLEGIANT HEALTHCARE OF MESA,539.0,0,0.0,0.83,0.45,68654,0.0,0.0
189,MESA CHRISTIAN HEALTH AND REHABILITATION CENTER,538.0,0,0.0,0.83,0.45,68526,0.0,0.0
190,HAVEN OF YUMA,360.0,0,0.0,1.22,0.44,56081,0.0,0.0
191,THE FORUM AT DESERT HARBOR,48.0,0,0.0,0.83,0.04,5095,0.0,0.0
192,SUNCREST HEALTHCARE CENTER,281.0,0,0.0,0.83,0.23,29826,0.0,0.0
193,SPRINGDALE VILLAGE HEALTHCARE,274.0,0,0.0,0.83,0.23,32214,0.0,0.0
194,GOOD SAMARITAN SOCIETY-QUIBURI MISSION,269.0,0,0.0,0.48,0.13,16595,0.0,0.0
195,CARING HOUSE,345.0,0,0.0,0.7,0.24,31096,0.0,0.0
196,SCOTTSDALE VILLAGE SQUARE,475.0,0,0.0,0.83,0.39,58686,0.0,0.0
197,SIERRA WINDS,219.0,0,0.0,0.83,0.18,25471,0.0,0.0
198,MOUNTAIN VIEW CARE CENTER,366.0,0,0.0,0.65,0.24,30571,0.0,0.0
199,ARIZONA STATE VETERAN HOME-PHX,575.0,0,0.0,0.83,0.48,67589,0.0,0.0
200,HAVEN OF LAKE HAVASU,261.0,0,0.0,0.45,0.12,18052,0.0,0.0
201,SOUTH MOUNTAIN POST ACUTE,515.0,0,0.0,0.83,0.43,58106,0.0,0.0
202,GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY,237.0,0,0.0,0.42,0.1,12845,0.0,0.0
203,SUNVIEW RESPIRATORY AND REHABILITATION,550.0,0,0.0,0.83,0.46,70055,0.0,0.0
204,MARYLAND GARDENS CARE CENTER,214.0,0,0.0,0.83,0.18,22715,0.0,0.0
205,THE GARDENS REHAB & CARE CENTER,340.0,0,0.0,0.45,0.15,23516,0.0,0.0
206,IMMANUEL CAMPUS OF CARE,749.0,0,0.0,0.83,0.62,79502,0.0,0.0
207,NORTH CHANDLER PLACE -  A CONTINUUM OF CARE COMMUN,153.0,0,0.0,0.83,0.13,16240,0.0,0.0
208,BROOKDALE SANTA CATALINA,114.0,0,0.0,0.65,0.07,9522,0.0,0.0
209,WINSLOW CAMPUS OF CARE,500.0,0,0.0,1.37,0.69,87830,0.0,0.0
210,FREEDOM PLAZA CARE CENTER,240.0,0,0.0,0.83,0.2,25475,0.0,0.0
211,THE PEAKS HEALTH & REHABILITATION,159.0,0,0.0,1.85,0.29,37646,0.0,0.0
212,THE GARDENS OF SCOTTSDALE,170.0,0,0.0,0.83,0.14,18044,0.0,0.0
213,FOUNTAIN VIEW VILLAGE,131.0,0,0.0,0.83,0.11,13905,0.0,0.0
214,THE LINGENFELTER CENTER,337.0,0,0.0,0.45,0.15,19423,0.0,0.0
215,SUN HEALTH GRANDVIEW CARE CENTER,187.0,0,0.0,0.83,0.15,22652,0.0,0.0
216,ADVANCED HEALTHCARE OF MESA,162.0,0,0.0,0.83,0.13,17195,0.0,0.0
217,ADVANCE HEALTH CARE OF SCOTTSDALE,162.0,0,0.0,0.83,0.13,17195,0.0,0.0
218,LA ESTANCIA NURSING AND REHABILITATION CENTER,421.0,0,0.0,0.83,0.35,53624,0.0,0.0
219,"VI AT GRAYHAWK, A VI AND PLAZA COMPANIES COMMUNITY",144.0,0,0.0,0.83,0.12,15285,0.0,0.0
220,SPLENDIDO AT RANCHO VISTOSO,173.0,0,0.0,0.65,0.11,14450,0.0,0.0
221,OASIS PAVILION NURSING & REHABILITATION CENTER,477.0,0,0.0,0.7,0.34,42994,0.0,0.0
222,ACACIA HEALTH CENTER,235.0,0,0.0,0.83,0.19,26986,0.0,0.0
223,SANTE OF MESA,278.0,0,0.0,0.83,0.23,35410,0.0,0.0
224,"VI AT SILVERSTONE, A VI AND PLAZA COMPANIES COMMUN",98.0,0,0.0,0.83,0.08,10402,0.0,0.0
225,ARIZONA STATE VETERAN HOME-TUCSON,494.0,0,0.0,0.65,0.32,41263,0.0,0.0
226,WELLSPRINGS THERAPY CENTER OF GILBERT,88.0,0,0.0,0.83,0.07,10977,0.0,0.0
227,SANTE OF NORTH SCOTTSDALE,242.0,0,0.0,0.83,0.2,30824,0.0,0.0
228,HAVASU REGIONAL MEDICAL CENTER,74.0,0,0.0,0.45,0.03,4265,0.0,0.0
229,COPPER HEALTH ORO VALLEY,90.0,0,0.0,0.65,0.06,7518,0.0,0.0
230,"CENTER AT ARROWHEAD, LLC",281.0,0,0.0,0.83,0.23,29826,0.0,0.0
231,"SAPPHIRE ESTATES REHAB CENTRE, LLC",306.0,0,0.0,0.65,0.2,30671,0.0,0.0
232,WELLSPRINGS THERAPY CENTER OF PHOENIX,184.0,0,0.0,0.83,0.15,19530,0.0,0.0
233,THE CENTER AT TUCSON,422.0,0,0.0,0.65,0.27,37155,0.0,0.0
234,ASPIRE TRANSITIONAL CARE,116.0,0,0.0,1.85,0.21,27465,0.0,0.0
235,SURPRISE HEALTH AND REHABILITATION CENTER,351.0,0,0.0,0.83,0.29,37256,0.0,0.0
236,VALLEY SPRINGS REHABILITATION AND HEALTH CENTER,445.0,1,2.25,2.49,0.11,16502,2.247191011235955,0.9036144578313252
237,SOMERSET SENIOR LIVING AT MCGEHEE,203.0,0,0.0,2.41,0.49,62760,0.0,0.0
238,BROOKRIDGE COVE REHABILITATION AND CARE  CENTER,296.0,0,0.0,0.9,0.27,34220,0.0,0.0
239,CAVE CITY NURSING HOME INC,327.0,0,0.0,1.88,0.61,80703,0.0,0.0
240,INDIAN ROCK VILLAGE HEALTH CENTER,123.0,0,0.0,0.5,0.06,7815,0.0,0.0
241,ASH FLAT HEALTHCARE AND REHABILITATION CENTER,305.0,0,0.0,1.88,0.57,80876,0.0,0.0
242,SOMERSET SENIOR LIVING AT SEVEN SPRINGS,291.0,0,0.0,1.36,0.39,60718,0.0,0.0
243,"JOHNSON COUNTY HEALTH AND REHAB, LLC",542.0,0,0.0,1.6,0.86,110840,0.0,0.0
244,THE GREEN HOUSE COTTAGES OF BELLE MEADE,587.0,1,1.7,3.5,1.05,162137,1.7035775127768313,0.4857142857142857
245,SILVER OAKS HEALTH AND REHABILITATION,396.0,0,0.0,1.18,0.47,62023,0.0,0.0
246,THE WOODS OF MONTICELLO HEALTH AND REHABILITATION,328.0,0,0.0,0.91,0.3,38310,0.0,0.0
247,LAKE VILLAGE REHABILITATION AND CARE CENTER,205.0,0,0.0,0.99,0.2,31167,0.0,0.0
248,THE GREEN HOUSE COTTAGES OF WENTWORTH PLACE,473.0,0,0.0,2.61,1.23,189835,0.0,0.0
249,GOOD SAMARITAN SOCIETY - HOT SPRINGS VILLAGE,154.0,0,0.0,1.52,0.23,35897,0.0,0.0
250,BENTLEY REHABILITATION AND HEALTH CENTER,219.0,0,0.0,3.63,0.79,102653,0.0,0.0
251,CHAPEL WOODS HEALTH AND REHABILITATION,405.0,0,0.0,0.58,0.23,29907,0.0,0.0
252,OUACHITA NURSING AND REHABILITATION CENTER,309.0,0,0.0,1.18,0.36,51182,0.0,0.0
253,"CRESTPARK FORREST CITY, LLC",256.0,0,0.0,2.3,0.59,75628,0.0,0.0
254,"CRESTPARK HELENA, LLC",229.0,0,0.0,3.23,0.74,94759,0.0,0.0
255,MAPLE HEALTHCARE,184.0,0,0.0,2.43,0.45,57344,0.0,0.0
256,BELLE VIEW ESTATES REHABILITATION AND CARE CENTER,288.0,0,0.0,0.91,0.26,33638,0.0,0.0
257,BRIGHTON RIDGE,142.0,0,0.0,2.71,0.38,49260,0.0,0.0
258,SOUTHFORK RIVER THERAPY AND LIVING,367.0,1,2.72,3.0,0.1,15396,2.7247956403269753,0.9066666666666667
259,GOOD SAMARITAN SOCIETY - MOUNTAIN HOME,193.0,0,0.0,2.06,0.4,50860,0.0,0.0
260,SHERIDAN HEALTHCARE AND REHABILITATION CENTER,332.0,0,0.0,1.27,0.42,43247,0.0,0.0
261,"THE WATERS OF WOODLAND HILLS, LLC",127.0,0,0.0,1.69,0.21,27450,0.0,0.0
